lfprt,educ,expr,age
1,10,14,42
0,4,2,24
0,10,7,31
0,10,9,39
0,7,9,41
1,8,10,23
0,8,8,38
0,9,9,47
0,8,9,36
0,11,8,32
0,5,7,36
1,16,6,31
0,8,8,29
0,5,10,28
0,6,5,18
1,11,11,18
0,10,7,28
0,8,4,39
0,7,3,31
0,4,5,23
0,11,4,20
0,7,7,32
0,3,6,38
1,10,10,30
0,6,7,36
0,10,4,32
1,10,15,48
0,9,1,18
0,11,7,39
1,10,7,24
0,8,12,41
0,15,5,31
1,8,12,25
0,6,10,36
0,10,6,38
1,9,10,22
0,5,9,28
0,7,10,32
1,12,7,19
1,8,7,18
1,8,11,33
0,7,6,48
0,5,9,31
0,3,2,18
0,4,10,38
1,9,17,33
1,8,12,34
0,6,10,28
0,7,4,21
0,8,4,32
0,5,5,50
0,2,6,18
0,12,2,18
0,8,9,46
0,9,11,40
0,3,6,25
1,8,9,21
1,9,10,30
0,9,3,28
1,10,13,21
0,1,8,18
1,10,8,24
0,16,3,29
0,3,10,38
0,7,8,28
0,6,4,18
0,13,4,39
0,5,9,34
0,5,5,18
0,5,4,28
1,12,9,29
0,6,8,42
0,1,7,27
0,5,4,18
0,1,7,35
1,10,7,22
1,15,5,23
0,6,9,28
1,12,5,21
1,8,15,39
0,9,8,42
1,7,12,31
0,8,6,25
0,6,6,26
1,1,12,19
0,6,11,55
0,10,7,32
0,8,11,40
0,10,2,49
0,8,8,30
1,8,10,18
0,9,7,27
0,6,7,19
0,12,3,40
0,11,6,37
1,12,12,29
0,3,8,32
0,9,7,33
0,4,5,32
0,6,9,53
0,6,12,44
1,9,8,18
1,11,12,35
0,8,3,34
0,5,4,22
0,10,11,40
0,8,8,28
0,8,6,49
0,7,7,38
0,5,5,50
0,8,4,21
0,1,9,18
1,2,13,18
1,8,8,25
1,5,17,34
0,9,8,36
0,9,2,18
0,5,6,18
1,11,10,26
0,7,8,26
0,3,8,33
1,12,7,18
0,11,9,35
0,10,9,33
